"School
Code",Boro Number,Boro,School,School Name,"Galaxy
FY11 Loc
Code",Status,Dist,"Poverty
Percentage","County
Cutoff","T1-1
NT1=0","Audited
Register","Proj_Regs
for New
Schools","Proj Regs for
Restruct &
Phase-Ins
Grades","Poverty
Count","T1 School
Poverty
Count","Students
in Temp
Housing","Title I
Eligible
Pupils","Additional
Title I
Eligibles
Phase-IN",USM,"OAG
Audit","for NYC
overal
count","Expalnation of Title I
School Designation","Weighted
T1 Count
(including
phase-in)","FY11
Entitlement",Title I ARRA,"Title I Basic
Allocation","Total Minimum
Parent (1%)
Involvement
Commitment",SWP?
101015,1,M,15,P.S. 015 ROBERTO CLEMENTE,01M015,Open,1,96.5,40.00%,1,192,0,0,185,185,22,185,0,UU,,185,TitleI:no chng,185,"$226,010 ","37,685","188,325","$2,260 ",SWP
101019,1,M,19,P.S. 019 ASHER LEVY,01M019,Open,1,82,40.00%,1,286,0,0,235,235,23,235,0,UU,,235,TitleI:no chng,235,"$287,094 ","171,031","116,063","$2,871 ",SWP
101020,1,M,20,P.S. 020 ANNA SILVER,01M020,Open,1,97.1,40.00%,1,542,0,0,526,526,39,526,0,UU,,526,TitleI:no chng,526,"$642,601 ","72,471","570,130","$6,426 ",SWP
101034,1,M,34,P.S. 034 FRANKLIN D. ROOSEVELT,01M034,Open,1,99.2,40.00%,1,395,0,0,392,392,42,392,0,,,392,TitleI:no chng,392,"$478,897 ","5,798","473,099","$4,789 ",SWP
101063,1,M,63,P.S. 063 WILLIAM MCKINLEY,01M063,Open,1,83.6,40.00%,1,171,0,0,143,143,13,143,0,,,143,TitleI:no chng,143,"$174,700 ","46,381","128,319","$1,747 ",SWP
101064,1,M,64,P.S. 064 ROBERT SIMON,01M064,Open,1,90.5,40.00%,1,266,0,0,241,241,20,241,0,UU,,241,TitleI:no chng,241,"$294,424 ","86,965","207,459","$2,944 ",SWP
101110,1,M,110,P.S. 110 FLORENCE NIGHTINGALE,01M110,Open,1,65.5,40.00%,1,440,0,0,288,288,7,288,0,,,288,TitleI:no chng,288,"$351,842 ","351,842",0,"$3,518 ",SWP
101134,1,M,134,P.S. 134 HENRIETTA SZOLD,01M134,Open,1,86.6,40.00%,1,344,0,0,298,298,21,298,0,,,298,TitleI:no chng,298,"$364,059 ","60,876","303,183","$3,641 ",SWP
101137,1,M,137,P.S. 137 JOHN L. BERNSTEIN,01M137,Open,1,88.4,40.00%,1,207,0,0,183,183,23,183,0,,,183,TitleI:no chng,183,"$223,567 ","43,483","180,084","$2,236 ",SWP
101140,1,M,140,P.S. 140 NATHAN STRAUS,01M140,Open,1,92.9,40.00%,1,399,0,0,371,371,43,371,0,UU,,371,TitleI:no chng,371,"$453,241 ","124,650","328,591","$4,532 ",SWP
101142,1,M,142,P.S. 142 AMALIA CASTRO,01M142,Open,1,93.8,40.00%,1,388,0,0,364,364,14,364,0,,,364,TitleI:no chng,364,"$444,690 ","89,864","354,826","$4,447 ",SWP
101184,1,M,184,P.S. 184M SHUANG WEN,01M184,Open,1,75.4,40.00%,1,589,0,0,444,444,3,444,0,,,444,TitleI:no chng,444,"$542,424 ","66,673","475,751","$5,424 ",SWP
101188,1,M,188,P.S. 188 THE ISLAND SCHOOL,01M188,Open,1,92.6,40.00%,1,355,0,0,329,329,50,329,0,UU,,329,TitleI:no chng,329,"$401,931 ","31,887","370,044","$4,019 ",SWP
101292,1,M,292,HENRY STREET SCHOOL FOR INTERNAT 01M292,,Open,1,73.3,40.00%,1,498,0,0,365,365,21,365,0,,,365,TitleI:no chng,365,"$445,911 ","31,887","414,024","$4,459 ",SWP
101301,1,M,301,"TECHNOLOGY, ARTS, AND SCIENCES ST 01M301",,Open,1,75.2,40.00%,1,230,0,0,173,173,18,173,0,UC,,173,TitleI:no chng,173,"$211,350 ","57,977","153,373","$2,114 ",SWP
101315,1,M,315,THE EAST VILLAGE COMMUNITY SCHOO01M315,,Open,1,53.1,40.00%,1,160,0,0,85,85,2,85,0,,,85,TitleI:no chng,85,"$103,842 ","103,842",0,"$1,038 ",SWP
101332,1,M,332,UNIVERSITY NEIGHBORHOOD MIDDLE S 01M332,,Open,1,91,40.00%,1,178,0,0,162,162,12,162,0,,,162,TitleI:no chng,162,"$197,911 ","28,988","168,923","$1,979 ",SWP
101345,1,M,345,COLLABORATIVE ACADEMY OF SCIENCE 01M345,,Open,1,85.9,40.00%,1,256,0,0,220,220,7,220,0,,,220,TitleI:no chng,220,"$268,769 ","92,763","176,006","$2,688 ",SWP
101361,1,M,361,THE CHILDREN'S WORKSHOP SCHOOL,01M361,Open,1,55,40.00%,1,228,0,0,125,125,11,125,0,UU,,125,TitleI:no chng,125,"$152,709 ","152,709",0,"$1,527 ",SWP
101363,1,M,363,NEIGHBORHOOD SCHOOL,01M363,Open,1,40.3,40.00%,1,295,0,0,119,119,4,119,0,,A,119,TitleI:no chng,119,"$145,379 ","145,379",0,"$1,454 ",SWP
101364,1,M,364,EARTH SCHOOL,01M364,Open,1,48,40.00%,1,324,0,0,156,156,1,156,0,UU,,156,TitleI:no chng,156,"$190,581 ","190,581",0,"$1,906 ",SWP
