Code,Boro,,School Name,DBN,Status,Dist,Percentage,Cutoff,NT1=0,Register,Schools,Grades,Count,Re-Distributed,Count,Housing,Pupils,IN,USM,Audit,School Designation,phase-in),Entitlement,Commitment,Cost,Allocation,SWP?,,
101015,1,M,P.S. 015 ROBERTO CLEMENTE,01M015,Open,1,96.5,40.00%,1,235,0,0,227,227,227,42,227,0,UU,TitleI:no chng,227,"$273,949 ","$2,739 ","$47,365 ","$226,584 ",SWP,,,
101019,1,M,P.S. 019 ASHER LEVY,01M019,Open,1,82,40.00%,1,292,0,0,239,239,239,6,239,0,UU,TitleI:no chng,239,"$288,431 ","$2,884 ","$164,383 ","$124,048 ",SWP,,,
101020,1,M,P.S. 020 ANNA SILVER,01M020,Open,1,97.1,40.00%,1,557,0,0,541,541,541,9,541,0,UU,TitleI:no chng,541,"$652,891 ","$6,529 ","$72,440 ","$580,451 ",SWP,,,
101034,1,M,P.S. 034 FRANKLIN D. ROOSEVELT,01M034,Open,1,93.9,40.00%,1,408,0,0,383,383,383,12,383,0,,TitleI:no chng,383,"$462,213 ","$4,622 ","$2,786 ","$459,427 ",SWP,,,
101063,1,M,P.S. 063 WILLIAM MCKINLEY,01M063,Open,1,82.8,40.00%,1,186,0,0,154,154,154,3,154,0,,TitleI:no chng,154,"$185,851 ","$1,859 ","$50,151 ","$135,700 ",SWP,,,
101064,1,M,P.S. 064 ROBERT SIMON,01M064,Open,1,90.5,40.00%,1,274,0,0,248,248,248,9,248,0,UU,TitleI:no chng,248,"$299,292 ","$2,993 ","$86,371 ","$212,921 ",SWP,,,
101110,1,M,P.S. 110 FLORENCE NIGHTINGALE,01M110,Open,1,61.9,40.00%,1,436,0,0,270,270,270,0,270,0,,TitleI:newT1,270,"$325,842 ","$3,258 ","$325,842 ",$0 ,SWP,,,
101134,1,M,P.S. 134 HENRIETTA SZOLD,01M134,Open,1,90.4,40.00%,1,355,0,0,321,321,321,8,321,0,,TitleI:no chng,321,"$387,390 ","$3,874 ","$100,301 ","$287,089 ",SWP,,,
101137,1,M,P.S. 137 JOHN L. BERNSTEIN,01M137,Open,1,86.7,40.00%,1,195,0,0,169,169,169,7,169,0,,TitleI:no chng,169,"$203,953 ","$2,040 ","$58,509 ","$145,444 ",SWP,,,
101140,1,M,P.S. 140 NATHAN STRAUS,01M140,Open,1,92.9,40.00%,1,407,0,0,378,378,378,17,378,0,,TitleI:no chng,378,"$456,179 ","$4,562 ","$122,591 ","$333,588 ",SWP,,,
101142,1,M,P.S. 142 AMALIA CASTRO,01M142,Open,1,93.1,40.00%,1,405,0,0,377,377,377,7,377,0,,TitleI:no chng,377,"$454,972 ","$4,550 ","$86,371 ","$368,601 ",SWP,,,
101184,1,M,P.S. 184M SHUANG WEN,01M184,Open,1,77.8,40.00%,1,553,0,0,430,430,430,0,430,0,,TitleI:no chng,430,"$518,934 ","$5,189 ","$50,151 ","$468,783 ",SWP,,,
101188,1,M,P.S. 188 THE ISLAND SCHOOL,01M188,Open,1,92.6,40.00%,1,377,0,0,349,349,349,52,349,0,UU,TitleI:no chng,349,"$421,181 ","$4,212 ","$30,648 ","$390,533 ",SWP,,,
101292,1,M,Henry Street School for International Stu,01M292,Open,1,69.9,40.00%,1,465,0,0,325,325,325,14,325,0,,TitleI:no chng,325,"$392,218 ","$3,922 ","$66,868 ","$325,350 ",SWP,,,
101301,1,M,"TECHNOLOGY, ARTS & SCIENCES ST",01M301,Open,1,51.9,40.00%,1,231,0,0,120,120,120,2,120,0,UC,:lower cutoffTitleI:no chng:lower cutoff,120,"$144,819 ","$1,448 ","$144,819 ",$0 ,SWP,,,
101315,1,M,THE EAST VILLAGE COMMUNITY SCH,01M315,Open,1,54.6,40.00%,1,141,0,0,77,77,77,2,77,0,,:lower cutoffTitleI:newT1:lower cutoff,77,"$92,925 ",$929 ,"$92,925 ",$0 ,SWP,,,
101332,1,M,UNIVERSITY NEIGHBORHOOD MIDDL,01M332,Open,1,89.6,40.00%,1,251,0,0,225,225,225,9,225,0,,TitleI:no chng,225,"$271,535 ","$2,715 ","$33,434 ","$238,101 ",SWP,,,
101345,1,M,COLLABORATIVE ACADEMY OF SCIE,01M345,Open,1,80.8,40.00%,1,292,0,0,236,236,236,3,236,0,A,TitleI:no chng,236,"$284,810 ","$2,848 ","$94,729 ","$190,081 ",SWP,,,
101361,1,M,CHILDREN'S WORKSHOP SCHOOL,01M361,Open,1,55,40.00%,1,219,0,0,120,120,120,3,120,0,UU,:lower cutoffTitleI:newT1:lower cutoff,120,"$144,819 ","$1,448 ","$144,819 ",$0 ,SWP,,,
101363,1,M,NEIGHBORHOOD SCHOOL,01M363,Open,1,42.1,40.00%,1,280,0,0,118,118,118,2,118,0,,:lower cutoffTitleI:newT1:lower cutoff,118,"$142,405 ","$1,424 ","$142,405 ",$0 ,SWP,,,
101364,1,M,EARTH SCHOOL,01M364,Open,1,48,40.00%,1,323,0,0,155,155,155,0,155,0,,:lower cutoffTitleI:newT1:lower cutoff,155,"$187,058 ","$1,871 ","$187,058 ",$0 ,SWP,,,
101378,1,M,School for Global Leaders,01M378,Open,1,82.1,40.00%,1,78,0,60,64,64,64,2,64,49,UC,TitleI:no chng,113,"$136,371 ","$1,364 ","$30,648 ","$105,723 ",SWP,,,
101448,1,M,UNIVERSITY NEIGHBORHOOD HIGH ,01M448,Open,1,73.4,40.00%,1,580,0,0,426,426,426,6,426,0,,TitleI:no chng,426,"$514,107 ","$5,141 ","$192,244 ","$321,863 ",SWP,,,
101450,1,M,EAST SIDE COMMUNITY HIGH SCHO,01M450,Open,1,79.7,40.00%,1,541,0,0,431,431,431,5,431,0,,TitleI:no chng,431,"$520,141 ","$5,201 ","$153,238 ","$366,903 ",SWP,,,
101509,1,M,MARTA VALLE SECONDARY SCHOOL,01M509,Open,1,92.1,40.00%,1,433,0,0,399,399,399,6,399,0,,TitleI:no chng,399,"$481,522 ","$4,815 ","$72,440 ","$409,082 ",SWP,,,
101515,1,M,LOWER EAST SIDE PREPARATORY H,01M515,Open,1,95.5,40.00%,1,507,0,0,484,484,484,0,484,0,UU,TitleI:no chng,484,"$584,102 ","$5,841 ","$261,898 ","$322,204 ",SWP,,,
101539,1,M,"New Explorations into Science, Technol",01M539,Open,1,19.6,40.00%,0,"1,302",0,0,255,255,0,,0,0,,Non-T1:STH only:no chng,0,$0 ,$0 ,$0 ,$0 ,0,,,
101650,1,M,CASCADES HIGH SCHOOL,01M650,Open,1,76.6,40.00%,1,214,0,0,164,164,164,0,164,0,,TitleI:no chng,164,"$197,919 ","$1,979 ","$64,081 ","$133,838 ",SWP,,,
101696,1,M,BARD HIGH SCHOOL EARLY COLLEG,01M696,Open,1,25.4,40.00%,0,575,0,0,146,146,0,,0,0,,Non-T1:STH only:no chng,0,$0 ,$0 ,$0 ,$0 ,0,,,
101839,1,M,TOMPKINS SQUARE MIDDLE SCHOO,01M839,Open,1,72.6,40.00%,1,377,0,0,274,274,274,4,274,0,UU,TitleI:no chng,274,"$330,670 ","$3,307 ","$130,949 ","$199,721 ",SWP,,,
102001,1,M,P.S. 001 ALFRED E. SMITH,02M001,Open,2,91.9,40.00%,1,502,0,0,461,461,461,12,461,0,UU,TitleI:no chng,461,"$556,346 ","$5,563 ","$142,094 ","$414,252 ",SWP,,,
102002,1,M,P.S. 002 MEYER LONDON,02M002,Open,2,97.1,40.00%,1,703,0,0,683,683,683,12,683,0,UU,TitleI:no chng,683,"$824,260 ","$8,243 ","$147,666 ","$676,594 ",SWP,,,
102003,1,M,P.S. 003 CHARRETTE SCHOOL,02M003,Open,2,17.4,40.00%,0,585,0,0,102,102,0,,22,0,,Non-T1:STH only:no chng,2,"$2,414 ",$24 ,$0 ,"$2,414 ",Target,,,
102006,1,M,P.S. 006 LILLIE D. BLAKE,02M006,Open,2,9.7,40.00%,0,796,0,0,77,77,0,,0,0,,Non-T1:STH only:no chng,0,$0 ,$0 ,$0 ,$0 ,0,,,
102011,1,M,P.S. 011 WILLIAM T. HARRIS,02M011,Open,2,68.2,40.00%,1,505,0,0,344,344,344,1,344,0,UU,TitleI:no chng,344,"$415,147 ","$4,151 ","$94,729 ","$320,418 ",SWP,,,
102033,1,M,P.S. 033 CHELSEA PREP,02M033,Open,2,84.4,40.00%,1,288,0,0,243,243,243,10,243,0,,TitleI:no chng,243,"$293,258 ","$2,933 ","$69,654 ","$223,604 ",SWP,,,
